Contig	Kingdom	Phylum	Class	Order	Family	Genus	Species
NODE_149_length_2590_cov_19.530840_MEMO127|full	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Anaplasmataceae	Wolbachia	Wolbachia endosymbiont of Culex molestus
NODE_15_length_1020_cov_2.252386_MEMO116|10-percent	Eukaryota	Arthropoda	Insecta	Diptera	Culicidae	Aedes	Aedes aegypti
NODE_15_length_1025_cov_2.186709_MEMO142|full	Eukaryota	Arthropoda	Insecta	Diptera	Culicidae	Culex	Culex pipiens
NODE_15_length_1070_cov_7.209466_NEMO54|full	Eukaryota	Arthropoda	Insecta	Diptera	Culicidae	Aedes	Aedes albopictus
NODE_15_length_1204_cov_732.615794_NEMO25|full	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Reoviridae	Orbivirus	Orbivirus sp.
NODE_15_length_1250_cov_2.779199_MEMO009-NC|full	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Alcaligenes	Alcaligenes faecalis
NODE_15_length_1406_cov_4.280662_NEMO21|full	Eukaryota	Arthropoda	Insecta	Diptera	Culicidae	Culex	Culex quinquefasciatus
NODE_15_length_1417_cov_1.997015_MEMO046-NC|full	Archaea	Candidatus Woesearchaeota	unclassified	unclassified	unclassified	unclassified	Candidatus Woesearchaeota archaeon
NODE_15_length_1437_cov_129.627206_MEMO060|full	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli
NODE_15_length_14552_cov_18.089672_MEMO127|full	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Anaplasmataceae	Wolbachia	unclassified
NODE_15_length_1476_cov_3.042173_MEMO023|full	Eukaryota	Arthropoda	Insecta	Diptera	Culicidae	Culex	Culex quinquefasciatus
NODE_15_length_1496_cov_5.139535_MEMO056|full	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Halomonadaceae	Zymobacter	Zymobacter palmae
NODE_15_length_1722_cov_2.341033_NEMO-NC4|full	Bacteria	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
NODE_15_length_1761_cov_4.361045_MEMO076-NC|full	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Arenimonas	Arenimonas sp.
NODE_15_length_1936_cov_6.470683_NEMO-NC1|full	Viruses	Uroviricota	Caudoviricetes	Caudovirales	unclassified	unclassified	uncultured Caudovirales phage
NODE_15_length_1979_cov_4.304942_NEMO16|full	Eukaryota	Arthropoda	Insecta	Diptera	Culicidae	Culex	Culex pipiens
NODE_15_length_2040_cov_6.914926_MEMO070|full	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Anaplasmataceae	Wolbachia	unclassified
NODE_15_length_2216_cov_16.095839_NEMO31|full	Eukaryota	Rotifera	Eurotatoria	Philodinida	Philodinidae	Didymodactylos	Didymodactylos carnosus
NODE_15_length_2417_cov_3.283333_NEMO-NC3|full	Bacteria	Candidatus Yanofskybacteria	unclassified	unclassified	unclassified	unclassified	Candidatus Yanofskybacteria bacterium
NODE_15_length_2444_cov_11.002957_NEMO-NC2|full	Bacteria	Proteobacteria	unclassified	unclassified	unclassified	unclassified	unclassified
NODE_15_length_2584_cov_30.442361_MEMO011|full	Eukaryota	Zoopagomycota	Entomophthoromycetes	Entomophthorales	Entomophthoraceae	Entomophthora	Entomophthora muscae
NODE_15_length_2628_cov_3.837711_MEMO033|full	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Yersiniaceae	Yersinia	unclassified
NODE_15_length_2742_cov_4.139962_MEMO141|full	Eukaryota	Ascomycota	Sordariomycetes	Hypocreales	unclassified	unclassified	unclassified
NODE_15_length_2913_cov_7.149859_MEMO113|full	Eukaryota	Arthropoda	Insecta	unclassified	unclassified	unclassified	unclassified
NODE_15_length_3049_cov_7.728466_MEMO111|full	Eukaryota	Nematoda	Chromadorea	Rhabditida	Onchocercidae	Brugia	Brugia timori
NODE_15_length_3132_cov_2.828151_MEMO112|full	Eukaryota	Mollusca	Gastropoda	unclassified	Planorbidae	Biomphalaria	Biomphalaria glabrata
NODE_15_length_4260_cov_12.062634_MEMO031|full	Viruses	unclassified	Naldaviricetes	Lefavirales	Nudiviridae	unclassified	Nudiviridae sp.
NODE_15_length_4377_cov_6.598837_MEMO048|full	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	unclassified	unclassified
NODE_150_length_1063_cov_4.122718_MEMO076-NC|full	Bacteria	Candidatus Giovannonibacteria	unclassified	unclassified	unclassified	unclassified	Candidatus Giovannonibacteria bacterium GW2011_GWF2_42_19
NODE_150_length_1208_cov_0.895668_MEMO116|full	Eukaryota	Arthropoda	Insecta	Diptera	Culicidae	Culex	unclassified
NODE_150_length_1268_cov_1.201511_MEMO113|full	Eukaryota	Arthropoda	Insecta	Diptera	Culicidae	Aedes	Aedes aegypti
NODE_150_length_1283_cov_4.108624_NEMO-NC2|full	Bacteria	Bacteroidetes	unclassified	unclassified	unclassified	unclassified	Bacteroidetes bacterium
NODE_150_length_1349_cov_2.139151_NEMO-NC3|full	Bacteria	Firmicutes	Erysipelotrichia	unclassified	unclassified	unclassified	Erysipelotrichia bacterium
NODE_150_length_1435_cov_1.358616_MEMO112|full	Eukaryota	Arthropoda	Insecta	Diptera	Culicidae	Aedes	Aedes albopictus
NODE_150_length_1567_cov_3.869799_MEMO033|full	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Erwiniaceae	Pantoea	Pantoea agglomerans
NODE_150_length_1729_cov_4.202179_MEMO048|full	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Erwiniaceae	unclassified	unclassified
NODE_151_length_1020_cov_10.755037_NEMO-NC1|full	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	unclassified	unclassified
NODE_151_length_1060_cov_4.336724_MEMO076-NC|full	Bacteria	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
NODE_151_length_1265_cov_4.669192_MEMO113|full	Eukaryota	Arthropoda	Insecta	Diptera	Culicidae	Anopheles	Anopheles gambiae
NODE_151_length_1345_cov_2.342271_NEMO-NC3|full	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli
NODE_151_length_1565_cov_3.033602_MEMO033|full	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	unclassified	unclassified	unclassified
NODE_151_length_1728_cov_2.727438_MEMO048|full	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Erwiniaceae	Erwinia	Erwinia billingiae
NODE_152_length_1060_cov_2.807731_MEMO076-NC|full	Viruses	Uroviricota	Caudoviricetes	Caudovirales	unclassified	unclassified	uncultured Caudovirales phage
NODE_152_length_1282_cov_4.541909_NEMO-NC2|full	Bacteria	unclassified	unclassified	unclassified	unclassified	unclassified	Parcubacteria group bacterium Gr01-1014_33
NODE_152_length_1344_cov_6.523283_NEMO-NC3|full	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli
NODE_152_length_1562_cov_6.328620_MEMO033|full	Eukaryota	Arthropoda	Insecta	Lepidoptera	Cosmopterigidae	Hyposmocoma	Hyposmocoma kahamanoa
NODE_152_length_1727_cov_5.283636_MEMO048|full	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Erwiniaceae	unclassified	unclassified
NODE_153_length_1014_cov_2.228388_NEMO-NC1|full	Bacteria	Candidatus Moranbacteria	unclassified	unclassified	unclassified	unclassified	Candidatus Moranbacteria bacterium GW2011_GWF2_35_39
NODE_153_length_1054_cov_2.848516_MEMO076-NC|full	Bacteria	Proteobacteria	Alphaproteobacteria	Hyphomicrobiales	Phyllobacteriaceae	Aminobacter	Aminobacter ciceronei
NODE_153_length_1134_cov_4.724693_MEMO115|full	Eukaryota	Arthropoda	Insecta	Diptera	Culicidae	Aedes	Aedes albopictus
NODE_153_length_1206_cov_3.946856_MEMO116|full	Eukaryota	Arthropoda	Insecta	Diptera	Culicidae	Aedes	Aedes albopictus
NODE_153_length_1280_cov_2.901912_NEMO-NC2|full	Bacteria	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
NODE_153_length_1561_cov_5.056604_MEMO033|full	Eukaryota	Ascomycota	Sordariomycetes	Hypocreales	Cordycipitaceae	Beauveria	Beauveria bassiana
NODE_154_length_1013_cov_3.010684_NEMO-NC1|full	Bacteria	Gemmatimonadetes	Gemmatimonadetes	Gemmatimonadales	Gemmatimonadaceae	unclassified	Gemmatimonadaceae bacterium
NODE_154_length_1279_cov_3.419301_NEMO-NC2|full	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Curvibacter	Curvibacter gracilis
NODE_154_length_1340_cov_2.653207_NEMO-NC3|full	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
NODE_154_length_1560_cov_4.643291_MEMO033|full	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Erwiniaceae	unclassified	unclassified
NODE_154_length_1720_cov_6.038344_MEMO048|full	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Erwiniaceae	unclassified	unclassified
NODE_155_length_1048_cov_4.424305_MEMO076-NC|full	Bacteria	unclassified	unclassified	unclassified	unclassified	unclassified	Patescibacteria group bacterium
NODE_155_length_1131_cov_1.585389_MEMO115|full	Eukaryota	Arthropoda	Insecta	Diptera	Culicidae	unclassified	unclassified
NODE_155_length_1202_cov_6.163556_MEMO116|full	Eukaryota	Arthropoda	Insecta	Diptera	Culicidae	Aedes	Aedes albopictus
NODE_155_length_1279_cov_1.877704_NEMO-NC2|full	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Arenimonas	Arenimonas sp.
NODE_155_length_1286_cov_12.292804_MEMO111|full	Eukaryota	Nematoda	Chromadorea	Rhabditida	Onchocercidae	Brugia	Brugia timori
NODE_155_length_1338_cov_4.540048_NEMO-NC3|full	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli
NODE_155_length_1421_cov_5.363839_MEMO112|full	Eukaryota	Arthropoda	Insecta	Diptera	Culicidae	Aedes	Aedes albopictus
NODE_155_length_1554_cov_4.930264_MEMO033|full	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Erwiniaceae	unclassified	unclassified
NODE_155_length_1720_cov_5.943396_MEMO048|full	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Erwiniaceae	unclassified	unclassified
NODE_155_length_2432_cov_33.509554_MEMO127|full	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Anaplasmataceae	Wolbachia	Wolbachia endosymbiont of Armadillidium vulgare
NODE_156_length_1338_cov_3.544013_NEMO-NC3|full	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	unclassified	unclassified
NODE_156_length_1554_cov_3.446175_MEMO033|full	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Erwiniaceae	unclassified	unclassified
NODE_156_length_1710_cov_2.834048_MEMO048|full	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Erwiniaceae	Erwinia	Erwinia aphidicola
NODE_157_length_1045_cov_1.909091_MEMO076-NC|full	Bacteria	Actinobacteria	Actinomycetia	Corynebacteriales	Corynebacteriaceae	Corynebacterium	unclassified
NODE_157_length_1200_cov_2.493321_MEMO116|full	Eukaryota	Arthropoda	Insecta	Diptera	Culicidae	Aedes	Aedes albopictus
NODE_157_length_1275_cov_3.025042_NEMO-NC2|full	Bacteria	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
NODE_157_length_1337_cov_5.805556_NEMO-NC3|full	Bacteria	Candidatus Parcubacteria	unclassified	unclassified	unclassified	unclassified	Parcubacteria bacterium C7867-001
NODE_157_length_1419_cov_8.507452_MEMO112|full	Eukaryota	Nematoda	Chromadorea	Rhabditida	Onchocercidae	Brugia	Brugia timori
NODE_157_length_1551_cov_7.373134_MEMO033|full	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Erwiniaceae	unclassified	unclassified
NODE_157_length_1703_cov_6.945264_MEMO048|full	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella pneumoniae
NODE_158_length_1007_cov_2.656989_NEMO-NC1|full	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Rhodoferax	Rhodoferax sp.
NODE_158_length_1284_cov_6.125104_MEMO111|full	Eukaryota	Arthropoda	Hexanauplia	Siphonostomatoida	Caligidae	Caligus	Caligus rogercresseyi
NODE_158_length_1335_cov_3.666932_NEMO-NC3|full	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli
NODE_158_length_1418_cov_2.887397_MEMO112|full	Eukaryota	Arthropoda	Insecta	Diptera	Culicidae	Aedes	Aedes albopictus
NODE_158_length_1702_cov_3.617846_MEMO048|full	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Erwiniaceae	unclassified	unclassified
NODE_158_length_2109_cov_4.582677_MEMO050|full	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Anaplasmataceae	Wolbachia	unclassified
NODE_158_length_3081_cov_4.675766_MEMO108|full	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Anaplasmataceae	Wolbachia	unclassified
NODE_159_length_1123_cov_4.087954_MEMO115|full	Eukaryota	Arthropoda	Insecta	Diptera	Culicidae	Aedes	Aedes aegypti
NODE_159_length_1241_cov_2.496564_MEMO113|full	Eukaryota	Arthropoda	Insecta	Diptera	Culicidae	Aedes	Aedes albopictus
NODE_159_length_1267_cov_5.411765_NEMO-NC2|full	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Alcanivoracaceae	Alcanivorax	Alcanivorax sp.
NODE_159_length_1334_cov_1.514718_NEMO-NC3|full	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	unclassified	unclassified
NODE_159_length_1415_cov_3.596413_MEMO112|full	Eukaryota	Arthropoda	Insecta	Diptera	Culicidae	Aedes	Aedes aegypti
NODE_159_length_1548_cov_3.237933_MEMO033|full	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	unclassified	unclassified	unclassified
NODE_159_length_1701_cov_8.291872_MEMO048|full	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	unclassified	unclassified
NODE_159_length_2044_cov_9.023894_MEMO071|full	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Anaplasmataceae	Wolbachia	Wolbachia endosymbiont of Culex quinquefasciatus
NODE_159_length_2310_cov_8.318854_MEMO127|full	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Anaplasmataceae	Wolbachia	unclassified
NODE_16_length_1002_cov_3.126486_MEMO042|full	Eukaryota	Arthropoda	Insecta	Diptera	Culicidae	Anopheles	Anopheles arabiensis
NODE_16_length_1062_cov_1.364467_NEMO54|full	Eukaryota	Arthropoda	Insecta	Diptera	Culicidae	Culex	Culex quinquefasciatus
NODE_16_length_1068_cov_1.432896_MEMO089|full	Eukaryota	Arthropoda	Insecta	Diptera	Culicidae	Culex	unclassified
NODE_16_length_1154_cov_4.828227_MEMO066|full	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Anaplasmataceae	Wolbachia	Wolbachia endosymbiont of Culex quinquefasciatus
NODE_16_length_1236_cov_3.930112_MEMO014|full	Viruses	Duplornaviricota	Chrymotiviricetes	Ghabrivirales	Totiviridae	unclassified	Keenan toti-like virus
NODE_16_length_1290_cov_1.478978_MEMO112|10-percent	Eukaryota	Arthropoda	Insecta	Diptera	Culicidae	unclassified	unclassified
NODE_16_length_1337_cov_2.732540_NEMO21|full	Eukaryota	Arthropoda	Insecta	Diptera	Culicidae	Aedes	Aedes albopictus
NODE_16_length_1365_cov_1.809006_MEMO029|full	Eukaryota	Arthropoda	Insecta	Diptera	Culicidae	Aedes	Aedes albopictus
NODE_16_length_1411_cov_2.825337_MEMO046-NC|full	Bacteria	Proteobacteria	Gammaproteobacteria	Methylococcales	Methylococcaceae	Methyloprofundus	Methyloprofundus sp.
NODE_16_length_14518_cov_18.771622_MEMO127|full	Eukaryota	Arthropoda	Insecta	Hymenoptera	Formicidae	Vollenhovia	Vollenhovia emeryi
NODE_16_length_1458_cov_1.302679_MEMO056|full	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Halomonadaceae	Zymobacter	Zymobacter palmae
NODE_16_length_1933_cov_4.949353_NEMO-NC1|full	Bacteria	Proteobacteria	unclassified	unclassified	unclassified	unclassified	unclassified
NODE_16_length_2044_cov_30.670056_NEMO20|full	Eukaryota	Zoopagomycota	Entomophthoromycetes	Entomophthorales	Entomophthoraceae	Entomophthora	Entomophthora muscae
NODE_16_length_2102_cov_3.662716_MEMO129|10-percent	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Anaplasmataceae	Wolbachia	Wolbachia endosymbiont of Culex quinquefasciatus
NODE_16_length_2177_cov_6.661905_NEMO31|full	Eukaryota	Mucoromycota	Mucoromycetes	Mucorales	Rhizopodaceae	Rhizopus	unclassified
NODE_16_length_2282_cov_17.159184_MEMO011|full	Eukaryota	Basidiomycota	Agaricomycetes	Cantharellales	Ceratobasidiaceae	Ceratobasidium	Ceratobasidium sp. AG-Ba
NODE_16_length_2297_cov_10.487387_MEMO059|full	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Anaplasmataceae	Wolbachia	unclassified
NODE_16_length_2297_cov_6.263063_NEMO-NC3|full	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	unclassified	unclassified
NODE_16_length_2392_cov_22.852700_NEMO36|full	Bacteria	Planctomycetes	Candidatus Brocadiae	Candidatus Brocadiales	Candidatus Brocadiaceae	Candidatus Scalindua	Candidatus Scalindua brodae
NODE_16_length_2536_cov_6.692558_MEMO033|full	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Salmonella	Salmonella enterica
NODE_16_length_2597_cov_8.148810_MEMO149|full	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Anaplasmataceae	Wolbachia	Wolbachia endosymbiont of Culex quinquefasciatus
NODE_16_length_2707_cov_6.055513_MEMO141|full	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli
NODE_16_length_2886_cov_4.423282_MEMO113|full	Eukaryota	Arthropoda	Insecta	Diptera	Culicidae	Culex	Culex pipiens
NODE_16_length_2975_cov_22.120083_MEMO111|full	Eukaryota	Rotifera	Eurotatoria	unclassified	unclassified	Rotaria	Rotaria magnacalcarata
NODE_16_length_3178_cov_854.352789_MEMO053|full	Viruses	Duplornaviricota	Chrymotiviricetes	Ghabrivirales	Chrysoviridae	unclassified	Xanthi chryso-like virus
NODE_16_length_3236_cov_3.508705_MEMO026|full	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Anaplasmataceae	Wolbachia	unclassified
NODE_16_length_3471_cov_35.297584_MEMO128|full	Eukaryota	Nematoda	Chromadorea	Rhabditida	Onchocercidae	Onchocerca	Onchocerca ochengi
NODE_16_length_4115_cov_64.029965_MEMO031|full	Eukaryota	Arthropoda	Insecta	Diptera	Culicidae	Culex	unclassified
NODE_16_length_4232_cov_6.705174_MEMO048|full	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Erwiniaceae	Erwinia	Erwinia aphidicola
NODE_160_length_1042_cov_1.770984_MEMO076-NC|full	Bacteria	Candidatus Yanofskybacteria	unclassified	unclassified	unclassified	unclassified	Candidatus Yanofskybacteria bacterium
NODE_160_length_1194_cov_7.734109_MEMO116|full	Eukaryota	Nematoda	Chromadorea	Rhabditida	Onchocercidae	Brugia	Brugia timori
NODE_160_length_1240_cov_1.435942_MEMO113|full	Eukaryota	Arthropoda	Insecta	Diptera	Culicidae	Culex	Culex quinquefasciatus
NODE_160_length_1267_cov_3.651261_NEMO-NC2|full	Bacteria	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
NODE_160_length_1330_cov_3.897845_NEMO-NC3|full	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	unclassified	unclassified
NODE_160_length_1413_cov_4.736527_MEMO112|full	Eukaryota	Nematoda	Chromadorea	Rhabditida	Onchocercidae	Brugia	Brugia timori
NODE_160_length_1547_cov_12.564626_MEMO033|full	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella pneumoniae
NODE_160_length_1651_cov_2.568615_MEMO128|full	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Hafniaceae	Hafnia	Hafnia alvei
NODE_160_length_1690_cov_2.286423_MEMO048|full	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
NODE_161_length_1041_cov_2.661826_MEMO076-NC|full	Bacteria	Bacteroidetes	unclassified	unclassified	unclassified	unclassified	unclassified
NODE_161_length_1121_cov_2.203065_MEMO115|full	Eukaryota	Arthropoda	Insecta	Diptera	Culicidae	Aedes	Aedes albopictus
NODE_161_length_1192_cov_1.533632_MEMO116|full	Eukaryota	Arthropoda	Insecta	Diptera	Culicidae	Culex	Culex quinquefasciatus
NODE_161_length_1264_cov_11.451559_NEMO-NC2|full	Bacteria	Bacteroidetes	unclassified	unclassified	unclassified	unclassified	Bacteroidetes bacterium
NODE_161_length_1329_cov_3.153355_NEMO-NC3|full	Eukaryota	Ascomycota	Dothideomycetes	unclassified	unclassified	Peltaster	Peltaster fructicola
NODE_161_length_1413_cov_1.589820_MEMO112|full	Eukaryota	Arthropoda	Insecta	Diptera	Culicidae	Culex	unclassified
NODE_161_length_1543_cov_3.943383_MEMO033|full	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Erwiniaceae	unclassified	unclassified
NODE_161_length_1680_cov_4.573300_MEMO048|full	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	unclassified	unclassified	unclassified
NODE_161_length_2864_cov_15.887334_MEMO129|full	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Anaplasmataceae	Wolbachia	Wolbachia endosymbiont of Culex molestus
NODE_162_length_1039_cov_6.336798_MEMO076-NC|full	Viruses	unclassified	unclassified	unclassified	unclassified	unclassified	Prokaryotic dsDNA virus sp.
NODE_162_length_1184_cov_3.507678_MEMO116|full	Eukaryota	Arthropoda	Insecta	Diptera	Culicidae	Aedes	Aedes albopictus
NODE_162_length_1236_cov_3.673857_MEMO113|full	Eukaryota	Arthropoda	Insecta	Diptera	Culicidae	Aedes	Aedes albopictus
NODE_162_length_1263_cov_4.375211_NEMO-NC2|full	Bacteria	Bacteroidetes	Chitinophagia	Chitinophagales	Chitinophagaceae	unclassified	Chitinophagaceae bacterium
NODE_162_length_1274_cov_1.881370_MEMO111|full	Eukaryota	Arthropoda	Insecta	Diptera	Culicidae	Aedes	Aedes albopictus
NODE_162_length_1328_cov_2.908074_NEMO-NC3|full	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli
NODE_162_length_1413_cov_1.241018_MEMO112|full	Eukaryota	Arthropoda	Insecta	Diptera	Culicidae	Aedes	Aedes albopictus
NODE_162_length_1540_cov_5.539986_MEMO033|full	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas sp. DE0157
NODE_162_length_1664_cov_3.119093_MEMO048|full	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Erwiniaceae	Erwinia	Erwinia aphidicola
NODE_163_length_1038_cov_6.904266_MEMO076-NC|full	Bacteria	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
NODE_163_length_1182_cov_2.289593_MEMO116|full	Eukaryota	Arthropoda	Insecta	Diptera	Culicidae	Culex	unclassified
NODE_163_length_1262_cov_2.949367_NEMO-NC2|full	Bacteria	Actinobacteria	Actinomycetia	unclassified	unclassified	unclassified	Actinobacteria bacterium
NODE_163_length_1264_cov_5.881213_MEMO111|full	Eukaryota	Arthropoda	Insecta	unclassified	unclassified	unclassified	unclassified
NODE_163_length_1326_cov_2.637310_NEMO-NC3|full	Bacteria	unclassified	unclassified	unclassified	unclassified	unclassified	Parcubacteria group bacterium
NODE_163_length_1536_cov_4.383139_MEMO033|full	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	unclassified	unclassified	unclassified
NODE_163_length_1661_cov_6.417298_MEMO048|full	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Erwiniaceae	unclassified	bacteria symbiont BFo1 of Frankliniella occidentalis
NODE_164_length_1261_cov_3.610642_MEMO111|full	Eukaryota	Arthropoda	Insecta	Diptera	Culicidae	Culex	unclassified
NODE_164_length_1261_cov_8.647804_NEMO-NC2|full	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	unclassified	Caulobacteraceae bacterium
NODE_164_length_1323_cov_1.956661_NEMO-NC3|full	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	unclassified	unclassified
NODE_164_length_1407_cov_5.712782_MEMO112|full	Eukaryota	Arthropoda	Insecta	Diptera	Culicidae	Aedes	Aedes aegypti
NODE_164_length_1530_cov_5.732966_MEMO033|full	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Erwiniaceae	unclassified	unclassified
NODE_164_length_1657_cov_2.923418_MEMO048|full	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella pneumoniae
NODE_164_length_2207_cov_24.022066_MEMO127|full	Eukaryota	Arthropoda	Insecta	Coleoptera	Lampyridae	Abscondita	Abscondita terminalis
NODE_165_length_1261_cov_3.537162_NEMO-NC2|full	Bacteria	Candidatus Yonathbacteria	unclassified	unclassified	unclassified	unclassified	Candidatus Yonathbacteria bacterium
NODE_165_length_1323_cov_1.426164_NEMO-NC3|full	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli
NODE_165_length_1404_cov_2.610399_MEMO112|full	Eukaryota	Arthropoda	Insecta	Diptera	Culicidae	Aedes	Aedes albopictus
NODE_165_length_1530_cov_3.233310_MEMO033|full	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	unclassified	unclassified
NODE_165_length_1652_cov_7.516825_MEMO048|full	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Pectobacteriaceae	Lonsdalea	Lonsdalea britannica
NODE_165_length_2158_cov_24.777991_MEMO127|full	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Anaplasmataceae	Wolbachia	unclassified
NODE_166_length_1036_cov_4.457769_MEMO076-NC|full	Bacteria	Candidatus Parcubacteria	unclassified	unclassified	unclassified	unclassified	Parcubacteria bacterium C7867-001
NODE_166_length_1111_cov_4.302708_MEMO115|full	Eukaryota	Arthropoda	Insecta	Diptera	Culicidae	Aedes	Aedes albopictus
NODE_166_length_1178_cov_2.710263_MEMO116|full	Eukaryota	Arthropoda	Insecta	Diptera	Culicidae	Aedes	Aedes albopictus
NODE_166_length_1257_cov_3.128814_NEMO-NC2|full	Bacteria	Candidatus Absconditabacteria	unclassified	unclassified	unclassified	unclassified	SR1 bacterium human oral taxon HOT-345
