Contig	taxID	Avg. % identity
NODE_108_length_1734_cov_4.790585_MEMO033|full	1903409	98.3
NODE_108_length_1960_cov_8.883165_MEMO048|full	53335	71.675
NODE_108_length_4395_cov_12.853404_MEMO127|full	953	999.333.333.333.333
NODE_108_length_527_cov_1.513333_MEMO007|full	2640676	99.2
NODE_108_length_531_cov_0.993392_MEMO030|full	68334	99.4
NODE_108_length_536_cov_4.464052_MEMO008|full	2651926	988.555.555.555.556
NODE_108_length_537_cov_1.195652_NEMO34|full	7176	62.9
NODE_108_length_549_cov_1.430085_MEMO014|full	953	95.8
NODE_108_length_590_cov_1.259259_MEMO080|full	518105	100
NODE_108_length_598_cov_0.238004_MEMO113|10-percent	1314	57.8
NODE_108_length_684_cov_1.270181_MEMO045|full	7176	99.1
NODE_108_length_685_cov_0.911184_MEMO056|full	33074	85.8
NODE_108_length_761_cov_1.201754_MEMO027|full	7160	57.9
NODE_108_length_854_cov_3.028314_MEMO023|full	7159	36.8
NODE_1090_length_505_cov_1.151869_MEMO071|full	7176	35.7
NODE_1090_length_511_cov_1.465438_MEMO149|full	2	97.88
NODE_1090_length_535_cov_0.862445_NEMO03|full	7176	67.1
NODE_1090_length_549_cov_1.648305_MEMO046-NC|full	1869227	40.9
NODE_1090_length_559_cov_1.394191_MEMO128|full	2545798	100
NODE_1090_length_568_cov_1.340122_NEMO-NC4|full	50259	43.8
NODE_1090_length_573_cov_1.995968_NEMO32|full	33154	47.772
NODE_1090_length_589_cov_1.087891_NEMO-NC1|full	41297	83.55
NODE_1090_length_640_cov_1.545293_MEMO076-NC|full	2100421	55.4
NODE_1090_length_653_cov_2.274306_MEMO116|full	43817	47.1
NODE_1090_length_663_cov_1.470990_MEMO113|full	1	568.714.285.714.286
NODE_1090_length_757_cov_6.777941_NEMO-NC2|full	35783	45.7
NODE_1090_length_824_cov_3.139224_NEMO-NC3|full	543	99.984
NODE_1091_length_503_cov_0.671362_MEMO054|full	2023360	90.9
NODE_1091_length_511_cov_0.990783_MEMO149|full	53335	96.25
NODE_1091_length_558_cov_3.199584_MEMO025|full	312017	47.6
NODE_1091_length_568_cov_1.067210_NEMO-NC4|full	28211	68.4
NODE_1091_length_640_cov_1.122558_MEMO076-NC|full	180282	96.7
NODE_1091_length_653_cov_2.144097_MEMO116|full	7160	85.7
NODE_1091_length_681_cov_1.511589_MEMO111|full	7160	58.85
NODE_1091_length_765_cov_2.383721_MEMO033|full	91347	99.65
NODE_1091_length_773_cov_6.383621_MEMO048|full	1236	68.75
NODE_1091_length_824_cov_2.244980_NEMO-NC3|full	507	99
NODE_1092_length_511_cov_0.854839_MEMO149|full	53335	998.125
NODE_1092_length_526_cov_1.668151_NEMO31|full	33213	401.727.272.727.273
NODE_1092_length_559_cov_1.562241_MEMO143|full	2045191	53
NODE_1092_length_640_cov_0.978686_MEMO076-NC|full	80840	36.95
NODE_1092_length_653_cov_1.862847_MEMO116|full	518105	37.34
NODE_1092_length_663_cov_1.313993_MEMO113|full	7160	61.1
NODE_1092_length_681_cov_1.346026_MEMO111|full	518105	659.272.727.272.727
NODE_1092_length_764_cov_1.991266_MEMO033|full	91347	95.68
NODE_1092_length_769_cov_4.656069_MEMO112|full	42155	73.1
NODE_1093_length_504_cov_1.681499_MEMO085|full	7176	71.9
NODE_1093_length_534_cov_3.133479_MEMO023|full	518105	100
NODE_1093_length_556_cov_0.926931_NEMO33|full	7176	92
NODE_1093_length_558_cov_2.390852_MEMO025|full	312017	45.9
NODE_1093_length_653_cov_1.152778_MEMO116|full	7160	53.2
NODE_1093_length_663_cov_0.692833_MEMO113|full	7160	54.6
NODE_1093_length_681_cov_0.806291_MEMO111|full	7159	83.5
NODE_1093_length_757_cov_1.783824_NEMO-NC2|full	2762318	98.38
NODE_1093_length_764_cov_1.860262_MEMO033|full	1903409	99.65
NODE_1093_length_824_cov_2.136546_NEMO-NC3|full	1	702.666.666.666.667
NODE_1094_length_510_cov_1.598152_MEMO149|full	53335	994.846.153.846.154
NODE_1094_length_519_cov_1.199095_MEMO102|full	518105	50.6
NODE_1094_length_534_cov_3.080963_MEMO023|full	518105	56.28
NODE_1094_length_549_cov_0.919492_MEMO046-NC|full	469	99.2
NODE_1094_length_577_cov_0.772000_MEMO050|full	91347	98.86
NODE_1094_length_611_cov_1.569288_MEMO115|full	7160	55.4
NODE_1094_length_757_cov_1.183824_NEMO-NC2|full	1716	74.6
NODE_1094_length_764_cov_1.388646_MEMO033|full	1603299	98.4
NODE_1094_length_769_cov_2.096821_MEMO112|full	7160	72.2
NODE_1094_length_773_cov_2.765805_MEMO048|full	91347	98.325
NODE_1095_length_509_cov_1.192130_MEMO149|full	53335	991.545.454.545.455
NODE_1095_length_509_cov_1.712963_MEMO024|full	7176	85
NODE_1095_length_526_cov_0.514477_NEMO31|full	669202	28.2
NODE_1095_length_567_cov_2.242857_NEMO-NC4|full	1538295	97.2
NODE_1095_length_572_cov_1.547475_NEMO32|full	7176	87.5
NODE_1095_length_611_cov_1.320225_MEMO115|full	53541	96.3
NODE_1095_length_652_cov_2.403478_MEMO116|full	7157	56.16
NODE_1095_length_662_cov_1.813675_MEMO113|full	7160	77
NODE_1095_length_680_cov_4.051410_MEMO111|full	7160	69.9
NODE_1095_length_763_cov_3.444606_MEMO033|full	1903409	97.86
NODE_1095_length_769_cov_1.673410_MEMO112|full	7160	71.6
NODE_1095_length_773_cov_1.034483_MEMO048|full	91347	990.857.142.857.143
NODE_1095_length_823_cov_3.443700_NEMO-NC3|full	131567	97.95
NODE_1096_length_507_cov_1.451163_NEMO21|full	43817	99
NODE_1096_length_512_cov_2.731034_NEMO53|full	42434	100
NODE_1096_length_527_cov_2.048889_MEMO009-NC|full	1503055	34.6
NODE_1096_length_534_cov_1.969365_MEMO023|full	518105	622.166.666.666.667
NODE_1096_length_548_cov_2.014862_MEMO046-NC|full	207598	97.75
NODE_1096_length_558_cov_1.604990_MEMO025|full	312017	86
NODE_1096_length_588_cov_1.187867_NEMO-NC1|full	2	288.666.666.666.667
NODE_1096_length_652_cov_2.086957_MEMO116|full	7160	56.2
NODE_1096_length_662_cov_1.704274_MEMO113|full	7176	39.1
NODE_1096_length_763_cov_3.313411_MEMO033|full	91347	938.666.666.666.667
NODE_1096_length_772_cov_9.297842_MEMO048|full	551	92.65
NODE_1096_length_823_cov_2.977212_NEMO-NC3|full	91347	999.529.411.764.706
NODE_1097_length_501_cov_1.165094_MEMO054|full	7176	47.1
NODE_1097_length_507_cov_0.897674_NEMO21|full	518105	73.3
NODE_1097_length_509_cov_0.928241_MEMO024|full	42434	100
NODE_1097_length_525_cov_3.314732_NEMO31|full	34485	37.5
NODE_1097_length_555_cov_1.654812_NEMO33|full	518105	48.2
NODE_1097_length_558_cov_1.484407_MEMO025|full	312017	47.8
NODE_1097_length_559_cov_0.632780_MEMO133|full	1903411	99.02
NODE_1097_length_567_cov_2.004082_NEMO-NC4|full	1842727	50.5
NODE_1097_length_611_cov_1.200375_MEMO115|full	518105	553.454.545.454.546
NODE_1097_length_639_cov_2.480427_MEMO076-NC|full	2	46.95
NODE_1097_length_763_cov_2.927114_MEMO033|full	1903409	95.7
NODE_1097_length_823_cov_2.583110_NEMO-NC3|full	721885	38.5
NODE_1098_length_507_cov_0.720930_NEMO21|full	518105	93.5
NODE_1098_length_519_cov_0.762443_MEMO102|full	7160	68.4
NODE_1098_length_527_cov_1.482222_MEMO009-NC|full	1797282	63.7
NODE_1098_length_555_cov_1.345188_NEMO33|full	518105	46.4
NODE_1098_length_558_cov_1.384615_MEMO025|full	312017	47.6
NODE_1098_length_611_cov_0.998127_MEMO115|full	7160	59.55
NODE_1098_length_639_cov_2.346975_MEMO076-NC|full	230148	35.5
NODE_1098_length_652_cov_1.241739_MEMO116|full	7160	65.1
NODE_1098_length_661_cov_4.404110_MEMO113|full	2689322	53.5
NODE_1098_length_756_cov_4.801178_NEMO-NC2|full	2017185	49.2
NODE_1098_length_762_cov_2.175182_MEMO033|full	91347	99.6
NODE_1098_length_771_cov_2.592219_MEMO048|full	68334	100
NODE_1098_length_823_cov_2.197051_NEMO-NC3|full	2664087	38.8
NODE_1099_length_501_cov_1.016509_MEMO054|full	42434	99.7
NODE_1099_length_506_cov_1.414918_NEMO15|full	7176	64.5
NODE_1099_length_512_cov_2.273563_NEMO53|full	42434	98.8
NODE_1099_length_525_cov_2.638393_NEMO31|full	46969	48.2
NODE_1099_length_548_cov_1.072187_MEMO046-NC|full	77133	77
NODE_1099_length_558_cov_1.349272_MEMO025|full	312017	46.4
NODE_1099_length_558_cov_2.594595_MEMO133|full	91347	99.58
NODE_1099_length_567_cov_1.242857_NEMO-NC4|full	2100421	71.2
NODE_1099_length_573_cov_2.695565_NEMO16|full	42434	72
NODE_1099_length_587_cov_2.425490_NEMO-NC1|full	2100421	81.4
NODE_1099_length_639_cov_1.106762_MEMO076-NC|full	1	35.2
NODE_1099_length_652_cov_1.179130_MEMO116|full	7176	48.3
NODE_1099_length_680_cov_2.001658_MEMO111|full	7160	63.9
NODE_1099_length_762_cov_1.223358_MEMO033|full	91347	514.466.666.666.667
NODE_1099_length_823_cov_2.120643_NEMO-NC3|full	543	99.976
NODE_109_length_1073_cov_1.574297_MEMO102|full	42434	69.7
NODE_109_length_1102_cov_7.068293_NEMO31|full	279532	29.9
NODE_109_length_1122_cov_1.976077_NEMO-NC1|full	2026714	31.4
NODE_109_length_1394_cov_4.332574_MEMO113|full	43817	605.666.666.666.667
NODE_109_length_1407_cov_7.133083_NEMO-NC2|full	1783234	56.1
NODE_109_length_1424_cov_3.048998_MEMO111|full	7176	46
NODE_109_length_1434_cov_1.866618_NEMO-NC3|full	721885	84.5
NODE_109_length_1577_cov_22.116667_MEMO112|full	1314	59.8
NODE_109_length_1732_cov_5.548640_MEMO033|full	91347	97.48
NODE_109_length_1952_cov_7.073600_MEMO048|full	551	95.8
NODE_109_length_4360_cov_18.739201_MEMO127|full	953	99.85
NODE_109_length_532_cov_2.630769_MEMO114-NC|full	1794810	60.78
NODE_109_length_552_cov_1.800000_MEMO018|full	518105	607.333.333.333.333
NODE_109_length_584_cov_0.504931_NEMO43|full	7176	55.7
NODE_109_length_610_cov_1.133208_NEMO29|full	7157	679.166.666.666.667
NODE_109_length_624_cov_2.153565_MEMO150-NC|full	1912216	990.565.217.391.304
NODE_109_length_664_cov_2.076661_NEMO24|full	43817	77
NODE_109_length_676_cov_3.691152_MEMO045|full	7160	36
NODE_109_length_727_cov_1.656923_MEMO074|full	29484	62.9
NODE_109_length_853_cov_2.815722_NEMO15|full	7176	70.9
NODE_10_length_1023_cov_4.478858_MEMO144|full	43817	43.9
NODE_10_length_1038_cov_2.292404_MEMO006|full	7176	96.55
NODE_10_length_1110_cov_3.001936_MEMO042|full	3870	33.4
NODE_10_length_1132_cov_3.269194_NEMO54|full	518105	81.3
NODE_10_length_1137_cov_3.325472_MEMO142|full	747676	738.444.444.444.444
NODE_10_length_1180_cov_1.737081_NEMO29|full	1206794	47.6
NODE_10_length_12109_cov_15.268451_MEMO129|full	263437	100
NODE_10_length_1333_cov_2.118631_MEMO009-NC|full	80866	683.333.333.333.333
NODE_10_length_1455_cov_2.064586_MEMO017|full	55212	89.8
NODE_10_length_1514_cov_12.312457_MEMO071|10-percent	263437	100
NODE_10_length_1571_cov_17.194110_MEMO023|full	7157	740.444.444.444.444
NODE_10_length_15891_cov_21.267674_MEMO127|full	953	99.9
NODE_10_length_1679_cov_3.112984_MEMO046-NC|full	1117	40.725
NODE_10_length_1706_cov_1.919583_MEMO056|full	33074	76.2
NODE_10_length_1865_cov_5.476510_NEMO-NC4|full	2044944	42.4
NODE_10_length_1897_cov_6.612088_MEMO076-NC|full	1	41.23
NODE_10_length_1931_cov_4.988134_MEMO118|full	7160	55.9
NODE_10_length_2005_cov_2400.651971_NEMO25|full	1853202	59.4
NODE_10_length_2088_cov_10.035306_NEMO-NC1|full	2	31.5
NODE_10_length_2152_cov_5.302169_MEMO010|full	955	47.2
NODE_10_length_2154_cov_62.412614_MEMO117|full	2010267	63
NODE_10_length_2281_cov_12.925136_MEMO043|full	263437	100
NODE_10_length_2642_cov_133.627680_NEMO36|full	2501055	52.3
NODE_10_length_2743_cov_3.479370_MEMO033|full	1903409	99.75
NODE_10_length_2805_cov_8.031891_NEMO-NC2|full	1760	53.65
NODE_10_length_2980_cov_5.756459_MEMO011|full	936053	35.3
NODE_10_length_3114_cov_9.795851_MEMO141|full	33958	53.3
NODE_10_length_3200_cov_16.662184_NEMO-NC3|full	470	97.1
NODE_10_length_3701_cov_7.725166_MEMO111|full	7159	52
NODE_10_length_4782_cov_34.595749_MEMO031|full	1511853	38.275
NODE_10_length_4911_cov_6.656185_MEMO048|full	543	67.4
NODE_10_length_515_cov_0.623288_NEMO04|10-percent	7176	82.9
NODE_10_length_528_cov_0.789357_MEMO081|10-percent	7176	95.7
NODE_10_length_558_cov_0.827443_MEMO057|10-percent	7176	62.5
NODE_10_length_571_cov_0.738866_MEMO044|full	7176	88.4
NODE_10_length_574_cov_0.690141_MEMO028|10-percent	7176	60
NODE_10_length_640_cov_4.626998_MEMO021|full	7176	50
NODE_10_length_665_cov_1.146259_MEMO098|full	7176	41.3
NODE_10_length_704_cov_0.952153_NEMO01|full	42434	92.6
NODE_10_length_716_cov_1.129890_MEMO005|10-percent	953	100
NODE_10_length_728_cov_1.529954_MEMO035|full	518105	93.95
NODE_10_length_746_cov_1.239163_MEMO147|full	518105	95
NODE_10_length_748_cov_2.470939_MEMO114-NC|full	2026779	72.2
NODE_10_length_824_cov_3.696118_NEMO12|full	7176	61.4
NODE_10_length_875_cov_1.518797_MEMO018|full	2010272	99.25
NODE_10_length_948_cov_2.067738_MEMO028|full	42434	71.8
NODE_10_length_968_cov_1.325477_NEMO17|full	7176	85.7
NODE_10_length_988_cov_200.152580_MEMO118|10-percent	7176	59.1
NODE_1100_length_508_cov_2.719258_MEMO149|full	53335	928.666.666.666.667
NODE_1100_length_512_cov_1.655172_NEMO53|full	7176	68.2
NODE_1100_length_527_cov_0.866667_MEMO009-NC|full	1794811	46.825
NODE_1100_length_532_cov_2.408791_NEMO03|full	518105	74.1
NODE_1100_length_548_cov_0.932059_MEMO087|full	2626420	53.9
NODE_1100_length_548_cov_1.063694_MEMO046-NC|full	1913989	75.5
NODE_1100_length_557_cov_0.829167_MEMO128|full	131567	98.8
NODE_1100_length_567_cov_1.122449_NEMO-NC4|full	501783	98.925
NODE_1100_length_587_cov_1.605882_NEMO-NC1|full	2493092	67.5
NODE_1100_length_610_cov_1.131332_MEMO115|full	7160	49
NODE_1100_length_638_cov_4.524064_MEMO076-NC|full	38018	27.6
NODE_1100_length_652_cov_1.168696_MEMO116|full	518105	50.7
NODE_1100_length_761_cov_4.005848_MEMO033|full	1903409	99.5
NODE_1100_length_768_cov_1.840810_MEMO112|full	7160	57.4
NODE_1100_length_770_cov_3.359307_MEMO048|full	1903409	98.575
NODE_1100_length_823_cov_1.959786_NEMO-NC3|full	1747	987.266.666.666.667
NODE_1101_length_534_cov_1.264770_MEMO023|full	1206794	785.375
NODE_1101_length_548_cov_0.772824_MEMO046-NC|full	500485	62
NODE_1101_length_558_cov_1.097713_MEMO025|full	312017	73.7
NODE_1101_length_575_cov_4.152610_MEMO050|full	68334	100
NODE_1101_length_587_cov_1.462745_NEMO-NC1|full	379	36.65
NODE_1101_length_638_cov_4.210339_MEMO076-NC|full	2052139	62.3
NODE_1101_length_660_cov_1.337907_MEMO113|full	7160	42.7
NODE_1101_length_679_cov_3.586379_MEMO111|full	7159	47.1
NODE_1101_length_756_cov_1.780560_NEMO-NC2|full	2	30.64
NODE_1101_length_761_cov_3.233918_MEMO033|full	1903409	978.666.666.666.667
NODE_1101_length_768_cov_1.723589_MEMO112|full	43817	57.15
NODE_1101_length_769_cov_2.567919_MEMO048|full	1903409	100
NODE_1102_length_506_cov_1.081585_NEMO15|full	7176	62.2
NODE_1102_length_508_cov_1.742459_MEMO149|full	1903409	958.153.846.153.846
NODE_1102_length_558_cov_1.054054_MEMO025|full	312017	48.2
NODE_1102_length_571_cov_1.265182_NEMO32|full	518105	45.775
NODE_1102_length_651_cov_2.945993_MEMO116|full	43817	41.75
NODE_1102_length_755_cov_5.429204_NEMO-NC2|full	119060	51.45
NODE_1102_length_768_cov_1.261939_MEMO112|full	518105	627.333.333.333.333
NODE_1102_length_769_cov_2.358382_MEMO048|full	1903409	99.1
NODE_1102_length_822_cov_8.300671_NEMO-NC3|full	152331	49.675
NODE_1103_length_510_cov_0.734411_MEMO055|full	518105	99.7
NODE_1103_length_556_cov_1.327766_MEMO128|full	543	98.61
NODE_1103_length_566_cov_3.163599_NEMO-NC4|full	544	984.352.941.176.471
NODE_1103_length_571_cov_0.957490_NEMO32|full	1974281	47.1
NODE_1103_length_573_cov_1.689516_NEMO16|full	42434	98.5
NODE_1103_length_575_cov_2.279116_MEMO050|full	1903409	992.333.333.333.333
NODE_1103_length_587_cov_1.309804_NEMO-NC1|full	1566379	100
NODE_1103_length_638_cov_3.791444_MEMO076-NC|full	1898204	81.7
NODE_1103_length_755_cov_4.542773_NEMO-NC2|full	2100421	69.9
NODE_1103_length_761_cov_2.666667_MEMO033|full	1903409	99.2
NODE_1103_length_768_cov_4.803184_MEMO048|full	91347	99.12
NODE_1103_length_822_cov_3.324832_NEMO-NC3|full	656417	96.9
NODE_1104_length_526_cov_2.017817_MEMO009-NC|full	1428	72.9
NODE_1104_length_547_cov_1.831915_MEMO046-NC|full	2026774	72.5
NODE_1104_length_566_cov_2.488753_NEMO-NC4|full	1760	49.075
NODE_1104_length_587_cov_1.096078_NEMO-NC1|full	356	100
NODE_1104_length_659_cov_1.738832_MEMO113|full	7160	80.5
NODE_1104_length_755_cov_3.827434_NEMO-NC2|full	1	81.65
NODE_1104_length_761_cov_1.527778_MEMO033|full	68334	97.9
NODE_1104_length_767_cov_3.850725_MEMO048|full	1903409	99.78
NODE_1104_length_822_cov_3.135570_NEMO-NC3|full	721885	78
NODE_1105_length_506_cov_1.512821_NEMO21|full	42434	93.1
NODE_1105_length_525_cov_1.006696_NEMO31|full	46969	35.7
NODE_1105_length_526_cov_1.962138_MEMO009-NC|full	1869339	77.6
NODE_1105_length_533_cov_1.778509_MEMO023|full	42434	88
NODE_1105_length_557_cov_2.977083_MEMO025|full	5890	92.6
NODE_1105_length_566_cov_2.370143_NEMO-NC4|full	33059	60.9
NODE_1105_length_638_cov_3.395722_MEMO076-NC|full	1798339	52.9
NODE_1105_length_659_cov_1.443299_MEMO113|full	7160	56
NODE_1105_length_679_cov_0.893688_MEMO111|full	2689361	62.8
NODE_1105_length_760_cov_1.171303_MEMO033|full	1903409	99
NODE_1105_length_767_cov_2.072464_MEMO112|full	7160	33.1
NODE_1105_length_767_cov_2.650725_MEMO048|full	91347	99.2
NODE_1105_length_822_cov_3.120805_NEMO-NC3|full	765440	41.6
NODE_1106_length_507_cov_2.044186_MEMO024|full	7176	78.8
NODE_1106_length_526_cov_1.556793_MEMO009-NC|full	1	40.65
NODE_1106_length_557_cov_2.866667_MEMO025|full	312017	70.9
NODE_1106_length_558_cov_1.033264_MEMO133|full	518105	69.4
NODE_1106_length_566_cov_2.163599_NEMO-NC4|full	1827	993.636.363.636.364
NODE_1106_length_574_cov_1.812877_MEMO050|full	7176	85.2
NODE_1106_length_638_cov_2.859180_MEMO076-NC|full	1889775	97.3
NODE_1106_length_659_cov_1.395189_MEMO113|full	7159	77.3
NODE_1106_length_755_cov_1.918879_NEMO-NC2|full	2052904	37.5
NODE_1106_length_759_cov_4.514663_MEMO033|full	91347	969.714.285.714.286
NODE_1106_length_767_cov_1.746377_MEMO112|full	53541	62.55
NODE_1106_length_767_cov_2.268116_MEMO048|full	1903409	99.84
NODE_1107_length_517_cov_1.352273_MEMO102|full	7160	67.15
NODE_1107_length_526_cov_1.434298_MEMO009-NC|full	1301	999.727.272.727.273
NODE_1107_length_547_cov_0.982979_MEMO046-NC|full	1509405	45.1
NODE_1107_length_555_cov_2.232218_MEMO128|full	158483	100
NODE_1107_length_609_cov_0.953008_MEMO115|full	518105	53
NODE_1107_length_638_cov_2.768271_MEMO076-NC|full	5974	90.2
NODE_1107_length_650_cov_0.876091_MEMO116|full	43817	507.714.285.714.286
NODE_1107_length_659_cov_1.245704_MEMO113|full	7160	51.6
NODE_1107_length_755_cov_1.632743_NEMO-NC2|full	1915061	99.2
NODE_1107_length_758_cov_1.318649_MEMO033|full	1903409	99.25
NODE_1107_length_767_cov_1.549275_MEMO048|full	1903409	98.8
NODE_1107_length_822_cov_2.492617_NEMO-NC3|full	155619	81.425
NODE_1108_length_500_cov_1.132388_MEMO054|full	7176	66.1
NODE_1108_length_508_cov_0.897912_MEMO149|full	53335	100
NODE_1108_length_509_cov_0.856481_MEMO055|full	42434	73.6
NODE_1108_length_511_cov_2.495392_NEMO53|full	42434	96.8
NODE_1108_length_526_cov_0.951002_MEMO009-NC|full	507	99.2
NODE_1108_length_557_cov_1.372917_MEMO025|full	312017	70.3
NODE_1108_length_566_cov_1.439673_NEMO-NC4|full	1046984	84.5
NODE_1108_length_586_cov_2.261297_NEMO-NC1|full	374	76.75
NODE_1108_length_638_cov_2.385027_MEMO076-NC|full	2052153	58.2
NODE_1108_length_649_cov_7.382867_MEMO116|full	53541	90.12
NODE_1108_length_755_cov_1.520649_NEMO-NC2|full	2052139	64.5
NODE_1108_length_757_cov_2.048529_MEMO033|full	68334	99.2
NODE_1108_length_766_cov_2.078374_MEMO112|full	7160	54.7
NODE_1108_length_767_cov_1.428986_MEMO048|full	1903409	992.333.333.333.333
NODE_1108_length_821_cov_6.127688_NEMO-NC3|full	91347	99.804
NODE_1109_length_505_cov_2.637850_NEMO15|full	42434	83.8
NODE_1109_length_505_cov_3.210280_NEMO21|full	518105	99.55
NODE_1109_length_526_cov_0.913140_MEMO009-NC|full	1437201	34
NODE_1109_length_554_cov_3.830189_MEMO128|full	158483	100
NODE_1109_length_557_cov_1.331250_MEMO025|full	312017	48.5
NODE_1109_length_557_cov_1.820833_MEMO133|full	42434	99.5
NODE_1109_length_566_cov_1.431493_NEMO-NC4|full	2100421	52.8
NODE_1109_length_572_cov_3.060606_NEMO16|full	7176	77.9
NODE_1109_length_586_cov_1.862475_NEMO-NC1|full	2067992	100
NODE_1109_length_608_cov_2.719397_MEMO115|full	1206794	55.8
NODE_1109_length_678_cov_2.670549_MEMO111|full	7160	79.8
NODE_1109_length_755_cov_1.191740_NEMO-NC2|full	1898104	41.7
NODE_1109_length_756_cov_5.636230_MEMO033|full	634499	85.9
NODE_1109_length_766_cov_4.775036_MEMO048|full	91347	978.842.105.263.158
NODE_110_length_1118_cov_1.628242_NEMO-NC1|full	1869339	60.2
NODE_110_length_1139_cov_6.377589_MEMO076-NC|full	2030927	50.3
NODE_110_length_1405_cov_3.570030_NEMO-NC2|full	1913989	33.3
NODE_110_length_1422_cov_3.053532_MEMO111|full	7159	70.875
NODE_110_length_1432_cov_2.540221_NEMO-NC3|full	2100421	65.4
NODE_110_length_1719_cov_6.841048_MEMO033|full	1903409	960.666.666.666.667
NODE_110_length_1945_cov_4.747859_MEMO048|full	91347	98.9
NODE_110_length_4260_cov_23.067894_MEMO127|full	953	100
NODE_110_length_524_cov_0.823266_MEMO099|full	518105	100
NODE_110_length_552_cov_0.661053_MEMO018|full	7176	71.9
NODE_110_length_577_cov_3.426000_MEMO122|full	1560201	78.9
NODE_110_length_589_cov_1.253906_MEMO080|full	7176	100
NODE_110_length_603_cov_0.754753_MEMO103|full	518105	66
NODE_110_length_615_cov_2.156134_MEMO020-NC|full	611301	69.8
NODE_110_length_629_cov_1.340580_NEMO48|full	7176	78
NODE_110_length_650_cov_1.528796_MEMO022|full	43817	94.425
NODE_110_length_655_cov_1.839100_MEMO078|full	1206794	74.1
NODE_110_length_684_cov_1.289951_MEMO056|full	2026799	58.8
NODE_110_length_720_cov_2.351477_MEMO132|full	7176	100
NODE_110_length_726_cov_1.993837_MEMO074|full	7176	72.4
NODE_110_length_854_cov_4.693694_MEMO009-NC|full	2	544.666.666.666.667
NODE_110_length_860_cov_1.581098_MEMO083|full	7160	46.3
NODE_110_length_862_cov_3.951592_NEMO23|full	131567	68.275
NODE_110_length_870_cov_2.790668_NEMO53|full	518105	97.6
NODE_110_length_962_cov_6.781921_NEMO20|full	94130	51.4
NODE_110_length_999_cov_2.578091_MEMO025|full	312017	48.4
NODE_1110_length_517_cov_0.875000_MEMO102|full	7160	77.4
NODE_1110_length_552_cov_2.008421_NEMO33|full	42434	43.3
NODE_1110_length_554_cov_1.318658_MEMO128|full	158483	100
NODE_1110_length_566_cov_0.969325_NEMO-NC4|full	2030810	73.3
NODE_1110_length_573_cov_1.467742_MEMO050|full	1928656	100
NODE_1110_length_608_cov_1.233522_MEMO115|full	7160	73.7
NODE_1110_length_638_cov_1.725490_MEMO076-NC|full	2	67.7
NODE_1110_length_678_cov_1.792013_MEMO111|full	30069	63.7
NODE_1110_length_754_cov_7.070901_NEMO-NC2|full	2100421	55.1
NODE_1110_length_756_cov_5.403535_MEMO033|full	1903409	981.142.857.142.857
NODE_1110_length_765_cov_2.097384_MEMO112|full	7159	82.1
NODE_1110_length_766_cov_2.062409_MEMO048|full	2767592	93.2
NODE_1111_length_501_cov_1.191038_MEMO085|full	7176	33.6
NODE_1111_length_546_cov_2.605544_MEMO087|full	42434	99.4
NODE_1111_length_556_cov_1.622129_MEMO143|full	7176	99.2
NODE_1111_length_565_cov_2.688525_NEMO-NC4|full	2704031	50
NODE_1111_length_572_cov_2.345455_NEMO16|full	7176	81.9
NODE_1111_length_586_cov_1.110020_NEMO-NC1|full	374	99.4
NODE_1111_length_638_cov_1.700535_MEMO076-NC|full	1752734	73.975
NODE_1111_length_756_cov_4.281296_MEMO033|full	68334	98.8
NODE_1111_length_765_cov_1.765988_MEMO112|full	7160	46.8
NODE_1111_length_765_cov_2.194767_MEMO048|full	1903409	98.25
NODE_1111_length_821_cov_1.791667_NEMO-NC3|full	721885	85.5
NODE_1112_length_507_cov_2.383721_MEMO149|full	53335	97.612
NODE_1112_length_517_cov_0.765909_MEMO102|full	7160	61.1
NODE_1112_length_532_cov_2.520879_MEMO023|full	44542	46.95
NODE_1112_length_546_cov_1.437100_MEMO046-NC|full	958	28.4
NODE_1112_length_553_cov_2.657563_MEMO128|full	158483	100
NODE_1112_length_556_cov_4.037578_MEMO025|full	312017	88.6
NODE_1112_length_586_cov_0.638507_NEMO-NC1|full	38018	39.7
NODE_1112_length_648_cov_2.294221_MEMO116|full	53541	902.666.666.666.667
NODE_1112_length_658_cov_1.154905_MEMO113|full	7160	61.2
NODE_1112_length_678_cov_1.158070_MEMO111|full	7159	43.8
NODE_1112_length_754_cov_1.901034_NEMO-NC2|full	1794811	46.26
NODE_1112_length_756_cov_3.472754_MEMO033|full	91347	99.4
NODE_1112_length_764_cov_12.861718_MEMO048|full	543	99.5
NODE_1112_length_764_cov_5.196507_MEMO112|full	219809	39
NODE_1112_length_820_cov_3.679677_NEMO-NC3|full	1	48.8
NODE_1113_length_546_cov_0.916844_MEMO046-NC|full	1752729	75.475
NODE_1113_length_557_cov_1.283333_MEMO133|full	1903411	985.375
NODE_1113_length_565_cov_2.250000_NEMO-NC4|full	976	339.333.333.333.333
NODE_1113_length_608_cov_0.596987_MEMO115|full	7160	55.2
NODE_1113_length_638_cov_1.454545_MEMO076-NC|full	246437	59.7
NODE_1113_length_648_cov_1.197898_MEMO116|full	7160	32.1
NODE_1113_length_658_cov_0.571429_MEMO113|full	334116	65.3
NODE_1113_length_678_cov_0.848586_MEMO111|full	7160	39.5
NODE_1113_length_754_cov_1.740030_NEMO-NC2|full	1932005	93.2
